32	600688	上海石化 点评	燃料加工	5.83	1.04%	427	9	1.57	-7.75	1370	.03	0	28.61	3.31	15.8	1	1	24.8	-9	-7.1	-8.7	121	1.23	38.8	14.0	29.5	38.5	10.1	17.2	21.6	30.3	0.20	1.55
33	000069	华侨城A 点评	房地产业	8.08	1.00%	497	15	-4.6	-3.69	-542	-.01	0	-1.8	1.63	-1.3	4	0	3.9	-5.2	.4	0.9	119	0.99	12.3	8.4	46.8	52.0	20.7	20.3	20.2	19.3	0.83	2.53
34	000001	平安银行 点评	金融服务	10.17	0.99%	1746	8	-17.18	-21.77	-1655	-.01	0	-2.48	2.68	-1.3	4	0	-.7	-.6	.4	0.9	130	0.98	17.9	18.6	46.5	47.1	14.9	14.5	20.7	19.8	0.73	1.51
35	600115	东方航空 点评	航空运输	8.17	0.99%	801	15	.62	8.93	5939	.07	.01	36.44	-19.08	12.8	1	1	-1.7	14.5	-5.4	-7.4	134	1.41	13.8	15.5	59.6	45.1	13.9	19.3	12.7	20.1	0.58	1.41
36	600340	华夏幸福 点评	房地产业	29.11	0.97%	860	10	-23.11	-6.61	-871	-.01	-.01	-4.28	3.62	-1.2	3	0	-2.7	1.5	-.3	1.5	128	0.95	17.8	20.5	45.4	43.9	17.2	17.5	19.6	18.1	0.84	1.41
37	601998	中信银行 点评	金融服务	6.27	0.97%	2000	6	1.29	1.46	291	0	0	10.62	8.41	2.1	1	1	-6.5	8.6	1.7	-3.8	128	1.14	5.3	11.8	59.8	51.2	12.4	10.7	22.5	26.3	0.07	1.52
38	600585	海螺水泥 点评	非金属	37.08	0.95%	1483	10	-.72	27.55	188	0	0	-.57	5.89	.2	1	1	2	-1.8	-.5	0.3	135	0.99	17.5	15.5	49.9	51.7	13.5	14.0	19.1	18.8	0.63	0.72
39	600029	南方航空 点评	航空运输	10.85	0.93%	762	11	2.07	-3.21	2452	.03	0	7.95	1.41	2.8	1	1	-1.9	4.7	-.4	-2.4	136	1.08	20.8	22.7	48.6	43.9	13.2	13.6	17.4	19.8	1.14	1.27
40	000333	美的集团 点评	电气机械	56.28	0.90%	3585	18	5.39	5.59	-5070	-.01	-.01	-5.49	.62	-2.9	5	0	-3.4	.5	1.1	1.8	135	0.96	15.5	18.9	50.6	50.1	14.3	13.2	19.6	17.8	0.49	0.69
41	600606	绿地控股 点评	房地产业	6.84	0.88%	220	6	-9.76	-5.13	4399	.2	.14	20.61	11.04	8.9	1	1	3.1	5.8	-3.3	-5.6	126	1.20	21.7	18.6	45.5	39.7	12.4	15.7	20.4	26.0	2.22	1.52
42	601800	中国交建 点评	土木工程	11.81	0.85%	1387	14	.51	-12.65	1398	.01	0	31.13	1.88	14.2	1	1	1.9	12.3	-2.7	-11.5	109	1.35	9.3	7.4	52.2	39.9	13.4	16.1	25.1	36.6	0.07	1.55
43	601618	中国中冶 点评	土木工程	3.55	0.85%	634	11	-.28	-28.28	-417	-.01	0	-19.07	13.61	-6	0	0	-3.3	-2.7	-.2	6.2	93	0.76	4.5	7.8	39.2	41.9	15.9	16.1	40.4	34.2	0.11	1.61
44	601169	北京银行 点评	金融服务	6.20	0.81%	1131	6	-15.53	-14.6	-758	-.01	.01	2.52	21.68	-3.3	7	0	-2.7	-.6	7.5	-4.2	111	1.11	10.3	13.0	43.7	44.3	26.3	18.8	19.7	23.9	0.20	0.76
45	601225	陕西煤业 点评	煤炭采选	8.95	0.79%	895	8	2.4	11.18	-1646	-.02	0	-3.59	-4.69	-2.3	3	0	-.7	-1.6	.6	1.7	143	0.98	22.1	22.8	48.2	49.8	15.1	14.5	14.6	12.9	0.80	1.04
46	600000	浦发银行 点评	金融服务	10.30	0.78%	2895	6	-16.19	-18.83	-819	0	0	4.6	14.25	-4	0	0	-3.7	-.3	.8	3.2	123	1.15	10.7	14.4	49.0	49.3	18.5	17.7	21.8	18.6	0.07	1.01
47	600011	华能国际 点评	电热供应	6.57	0.77%	690	21	-.76	3.63	527	.01	0	14.64	-7.75	9	1	1	0	9	-2.4	-6.6	116	1.10	0.0	0.0	62.6	53.6	16.0	18.4	21.4	28.0	0.09	0.98
